cik,zip,state,city
50725,10019,NY,NEW YORK
50863,95054,CA,SANTA CLARA
50957,63105,MO,ST LOUIS
51103,91754,CA,MONTEREY PARK
51143,10504,NY,ARMONK
51253,10019,NY,NEW YORK
51410,55305-1060,MN,MINNETONKA
51434,38197,TN,MEMPHIS
51644,10022,NY,NEW YORK
51931,90071,CA,LOS ANGELES
51939,60613,IL,CHICAGO
52136,02199,MA,BOSTON
52466,02172,MA,WATERTOWN
52532,90066,CA,LOS ANGELES
52617,47201,IN,COLUMBUS
52795,60026,IL,GLENVIEW
52827,32097,FL,WILDLIGHT
52848,19482,PA,VALLEY FORGE
52858,66202,KS,OVERLAND PARK
52969,07607,NJ,MAYWOOD
52988,75201,TX,DALLAS
53192,02116,MA,BOSTON
53260,13850,NY,VESTAL
53347,27401,NC,GREENSBORO
53669,53201,WI,MILWAUKEE
53808,10286,NY,NEW YORK
54003,90262,CA,LYNWOOD
54056,53203,WI,MILWAUKEE
54381,06002,CT,BLOOMFIELD
54441,77042,TX,HOUSTON
54473,64111-2565,MO,KANSAS CITY
54480,64105,MO,KANSAS CITY
54502,77002,TX,HOUSTON
54507,66612,KS,TOPEKA
54681,90071,CA,LOS ANGELES
54883,02129,MA,BOSTON
54991,44139,OH,SOLON
55067,60654,IL,CHICAGO
55080,63017,MO,CHESTERFIELD
55135,48084,MI,TROY
55189,10022-6225,NY,NEW YORK
55242,15219,PA,PITTSBURGH
55362,40602,KY,FRANKFORT
55529,28677,NC,STATESVILLE
55604,75240,TX,DALLAS
55698,02322-1171,MA,AVON
55772,47546-2256,IN,JASPER
55785,75038,TX,IRVING
55805,74135,OK,TULSA
55820,36104,AL,MONTGOMERY
56047,77007,TX,HOUSTON
56362,49505,MI,GRAND RAPIDS
56679,90067,CA,LOS ANGELES
56701,53212,WI,MILWAUKEE
56873,45201,OH,CINCINNATI
57055,63005,MO,CHESTERFIELD
57131,48162,MI,MONROE
57139,63124,MO,ST LOUIS
57497,44122-7313,OH,CLEVELAND
57515,43082,OH,WESTERVILLE
57528,28277,NC,CHARLOTTE
58361,52807,IA,DAVENPORT
58492,64836,MO,CARTHAGE
58592,10017,NY,NEW YORK
59229,29601,SC,GREENVILLE
59255,75240,TX,DALLAS
59440,33137,FL,MIAMI
59478,46285,IN,INDIANAPOLIS
59527,44117,OH,CLEVELAND
59558,19087,PA,RADNOR
59560,46802,IN,FORT WAYNE
60086,10019-2714,NY,NEW YORK
60302,98632,WA,LONGVIEW
60332,02110,MA,BOSTON
60335,02110,MA,BOSTON
60519,37203,TN,NASHVILLE
60549,40202,KY,LOUISVILLE
60667,28117,NC,MOORESVILLE
60714,73116-2238,OK,OKLAHOMA CITY
60751,44092,OH,WICKLIFFE
60849,75902-0849,TX,LUFKIN
60876,02053,MA,MEDWAY
60945,55415,MN,MINNEAPOLIS
60977,06045-0151,CT,MANCHESTER
61004,32804,FL,ORLANDO
61138,06702,CT,WATERBURY
61397,02210,MA,BOSTON
61398,77002,TX,HOUSTON
61478,55344,MN,EDEN PRAIRIE
61628,55101,MN,ST PAUL
61630,55101,MN,ST PAUL
61986,53224,WI,MILWAUKEE
62234,53202-6633,WI,MILWAUKEE
62262,90503,CA,TORRANCE
62709,10036,NY,NEW YORK
62737,46256,IN,INDIANAPOLIS
62741,53202,WI,MILWAUKEE
62996,48152,MI,LIVONIA
63276,90245,CA,EL SEGUNDO
63296,15212-5851,PA,PITTSBURGH
63330,96761,HI,LAHAINA
63416,63101,MO,ST LOUIS
63541,50208,IA,NEWTON
63754,21031,MD,HUNT VALLEY
63814,77056-3058,TX,HOUSTON
63908,60607,IL,CHICAGO
64040,10041,NY,NEW YORK
64247,61550,IL,MORTON
64279,70112,LA,NEW ORLEANS
64463,12205,NY,ALBANY
64578,55112,MN,NEW BRIGHTON
64670,55432,MN,MINNEAPOLIS
64782,15258-0001,PA,PITTSBURGH
64803,02895,RI,WOONSOCKET
64892,93111,CA,SANTA BARBARA
64908,21203,MD,BALTIMORE
64978,07065,NJ,RAHWAY
64996,90010,CA,LOS ANGELES
65011,50309,IA,DES MOINES
65100,10080,NY,NEW YORK
65109,19809,DE,WILMINGTON
65270,48034,MI,SOUTHFILED
